processed_tweets,class,neutralized_tweets
rt hoes be getting loose then move to other cities once everybody finds out they a hoe lol,1,rt people be getting loose then move to other cities once everybody finds out they a people lol
this game on some shit haha playing that hoe high had me and my nigggs trippen haha,1,this game on some stuff haha playing that people high had me and my nigggs trippen haha
fuk dat bitch lol voice,1,fuk dat person lol voice
you will and he s gonna get all dem bitches,1,you will and he s gonna get all dem person
it s a band negro,1,it s a band negro
i love how bitches be talkin how the single life is the best life then bitchin and complaining how they need a boyfriend wtf,1,i love how person be talkin how the single life is the best life then bitchin and complaining how they need a boyfriend what
rt that s my bitch,1,rt that s my person
u still fuck with your old bitch disrespectful like shit,1,u still messing around with your old person disrespectful like stuff
gonna drink and talk about bitches that i ve almost had,1,gonna drink and talk about person that i ve almost had
rt bitch you ugly as fuck are you a fuck tranny get alligator face as,1,rt person you ugly as messing around are you a messing around transgender person get alligator face as
thugga let ur bitch suck em up in rentals,1,thugga let ur person suck em up in rentals
only americans would hire white trash with ties to international terrorism as police officers,0,only americans would hire white trash with ties to international terrorism as police officers
rt aye stfu you dyke lookin bitch i m pretty sure you have a bigger dick than your boyfriend,1,rt aye stfu you dyke lookin person i m pretty sure you have a bigger dick than your boyfriend
hoes gon be hoes let them be,1,people gon be people let them be
hey fag i said this was your aunts he said it was you,0,hey person i said this was your aunts he said it was you
my nephew keeps tryna kiss me and i m like bitch you got zero followers dismiss yourself,1,my nephew keeps tryna kiss me and i m like person you got zero followers dismiss yourself
rt horrible rt invader zim was trash,0,rt horrible rt invader zim was trash
mean bro fucking faggot,0,mean bro messing around person
me you don t even lift pussy,1,me you don t even lift pussy
the streets a dirty hoe niggad try to wife it though,1,the streets a dirty people niggad try to wife it though
rt im so fucking done with i fucking hate you guys and your insurance policy is trash and omg square the fuck up,1,rt im so messing around done with i messing around hate you guys and your insurance policy is trash and omg square the messing around up
ahhh fuck it let s go rows for the hoes,1,ahhh messing around it let s go rows for the people
rt fuck twerking bitch can you cook,1,rt messing around twerking person can you cook
yes ugly bitch with the shitty platinum blonde skunk hair you did take cuts,1,yes ugly person with the shitty platinum blonde skunk hair you did take cuts
shawty wanna tell me secrets on how to rap niggah i tell that bitch it s more attractive when you hold it down,1,shawty wanna tell me secrets on how to rap person i tell that person it s more attractive when you hold it down
my bitch bruhhh,1,my person bruhhh
fucking pussy bruh lol,1,messing around pussy bruh lol
you say you classy and sadity i say bitch you a tease,1,you say you classy and sadity i say person you a tease
it s campaignseason bitch,1,it s campaignseason person
rt chris brown got no chill button why sell a bitch out on social media tho like not even a subliminal buddy took time to,1,rt chris brown got no chill button why sell a person out on social media tho like not even a subliminal buddy took time to
cause everyone just loves yo bitch ass rite yea sure,1,cause everyone just loves yo person person rite yea sure
just seen a dude wearing all black and white outfit with pyrex shorts she s getting some pussy tonight,1,just seen a dude wearing all black and white outfit with pyrex shorts she s getting some pussy tonight
mondays are a whole lot better when you re driving a vehicle that white pussy uhhh get ya,1,mondays are a whole lot better when you re driving a vehicle that white pussy uhhh get ya
lucky as bitch ft juicy j,1,lucky as person ft juicy j
rt if my son ever turn out gay ima have to get his mom and let this nigga know what a pussy feel like,1,rt if my son ever turn out gay ima have to get his mom and let this person know what a pussy feel like
bitch fuck you you cut off until i get my snacks from fat boys,1,person messing around you you cut off until i get my snacks from fat boys
all these faggot fell asleep on me,1,all these person fell asleep on me
she cares tho appreciate her lol rt a trolling bitch is a lonely bitch,1,she cares tho appreciate her lol rt a trolling person is a lonely person
rt you can ride for a nigga ya whole life new pussy fuck it up in one night,1,rt you can ride for a person ya whole life new pussy messing around it up in one night
they thought i wouldn t make it pussy nigga we made it,1,they thought i wouldn t make it pussy person we made it
pussy on my mouth pussy on my pinky ring,1,pussy on my mouth pussy on my pinky ring
wait a min you nigga bitch lol rt fuckthesteelers httr i don t give a damn if it cont,1,wait a min you person person lol rt fuckthesteelers httr i don t give a damn if it cont
i m the type to put that bitch in a river so you can gtf out my locations lol,1,i m the type to put that person in a river so you can gtf out my locations lol
rt i need my pussy ate now,1,rt i need my pussy ate now
it s got good mojo for sure paybacks a bitch,1,it s got good mojo for sure paybacks a person
niiice my nigga schinder pullin hoes,1,niiice my person schinder pullin people
rt this nigguh chris paul,0,rt this nigguh chris paul
lean wit it rock wit it az niccas lol,1,lean wit it rock wit it az niccas lol
is dem i wants to has my weenis swingin but da twitter say day shut my colored ass down,1,is dem i wants to has my weenis swingin but da twitter say day shut my colored person down
